,Date,Open,High,Low,Close,Volume,Year,M_num,M_nm,D_num,D_nm,Wk,P_intra,P_day,P_Vol,Ex_trd,PEx_trd
15527,2011-09-16,1209.2099609375,1220.06005859375,1204.4599609375,1216.010009765625,5248890000,2011,9,September,4,Friday,37,1.2951943744238332,0.5623546818000842,17.169784786136663,0.0999755859375,0.00826852702803798
15528,2011-09-19,1214.989990234375,1214.989990234375,1188.3599853515625,1204.0899658203125,4254190000,2011,9,September,0,Monday,38,2.240903868446422,-0.8971287419380183,-18.95067338046711,-1.02001953125,-0.08388249463888867
15529,2011-09-20,1204.5,1220.3900146484375,1201.2900390625,1202.0899658203125,4315610000,2011,9,September,1,Tuesday,38,1.589955378373347,-0.2000858596668742,1.4437530998850545,0.4100341796875,0.03405345043367713
15530,2011-09-21,1203.6300048828125,1206.300048828125,1166.2099609375,1166.760009765625,4728550000,2011,9,September,2,Wednesday,38,3.4376389529718248,-3.0632332999024254,9.568519861618634,1.5400390625,0.12811346124572875
15531,2011-09-22,1164.550048828125,1164.550048828125,1114.219970703125,1129.56005859375,6703140000,2011,9,September,3,Thursday,38,4.517068392988807,-3.0045930846497386,41.75889014602785,-2.2099609375,-0.18941006882331612
15532,2011-09-23,1128.8199462890625,1141.719970703125,1121.3599853515625,1136.4300537109375,5639930000,2011,9,September,4,Friday,38,1.8156511394669883,0.6741648610031065,-15.86137243142766,-0.7401123046875,-0.06552217379294603
15533,2011-09-26,1136.9100341796875,1164.18994140625,1131.0699462890625,1162.949951171875,4762830000,2011,9,September,0,Monday,39,2.9282004376343997,2.2904113966217237,-15.551611456170555,0.47998046875,0.04223581268223727
15534,2011-09-27,1163.3199462890625,1195.8599853515625,1163.3199462890625,1175.3800048828125,5548130000,2011,9,September,1,Tuesday,39,2.797170216697585,1.036693184211363,16.488096362876693,0.3699951171875,0.03181522272860198
15535,2011-09-28,1175.3900146484375,1184.7099609375,1150.4000244140625,1151.06005859375,4787920000,2011,9,September,2,Wednesday,39,2.9824353090493636,-2.0699474856407267,-13.702094219133294,0.010009765625,0.0008516195258909472
15536,2011-09-29,1151.739990234375,1175.8699951171875,1139.9300537109375,1160.4000244140625,5285740000,2011,9,September,3,Thursday,39,3.15281988480353,0.7519087861076365,10.397416832361444,0.679931640625,0.05907004031185588
15537,2011-09-30,1159.9300537109375,1159.9300537109375,1131.3399658203125,1131.4200439453125,4416790000,2011,9,September,4,Friday,39,2.5270996123517024,-2.457907670761145,-16.43951461857753,-0.469970703125,-0.04050074915866268
15538,2011-10-03,1131.2099609375,1138.989990234375,1098.9200439453125,1099.22998046875,5670340000,2011,10,October,0,Monday,40,3.6463022500895046,-2.8270596593974755,28.381471611736124,-0.2100830078125,-0.018568082555788134
15539,2011-10-04,1097.4200439453125,1125.1199951171875,1074.77001953125,1123.949951171875,3714670000,2011,10,October,1,Tuesday,40,4.684720886417834,2.4174797401353603,-34.48946624011964,-1.8099365234375,-0.16465494533415836
15540,2011-10-05,1124.030029296875,1146.0699462890625,1115.6800537109375,1144.030029296875,2510620000,2011,10,October,2,Wednesday,40,2.723889566461564,1.7793118936965402,-32.413377231355675,0.080078125,0.007124705590004906
15541,2011-10-06,1144.1099853515625,1165.550048828125,1134.949951171875,1164.969970703125,5098330000,2011,10,October,3,Thursday,40,2.696162736044382,1.8232500038143307,103.07055627693558,0.0799560546875,0.0069889821630505
15542,2011-10-07,1165.030029296875,1171.4000244140625,1150.260009765625,1155.4599609375,5580380000,2011,10,October,4,Friday,40,1.8378466145880314,-0.821443921505678,9.45505685194956,0.06005859375,0.005155376984846335
15543,2011-10-10,1158.1500244140625,1194.9100341796875,1158.1500244140625,1194.8900146484375,4446800000,2011,10,October,0,Monday,41,3.174028320227582,3.1722997418199506,-20.31367039520606,2.6900634765625,0.23281321443452493
15544,2011-10-11,1194.5999755859375,1199.239990234375,1187.300048828125,1195.5400390625,4424500000,2011,10,October,1,Tuesday,41,1.0056380792736277,0.07869274198682365,-0.5014842133669155,-0.2900390625,-0.02427328531867728
15545,2011-10-12,1196.18994140625,1220.25,1196.18994140625,1207.25,5355360000,2011,10,October,2,Wednesday,41,2.0113911479196034,0.9246072225576241,21.038761441970845,0.64990234375,0.05436056698357257
15546,2011-10-13,1206.9599609375,1207.4599609375,1190.5799560546875,1203.6600341796875,4436270000,2011,10,October,3,Thursday,41,1.4177968306092616,-0.27340813818291854,-17.162058199635506,-0.2900390625,-0.0240247722095672
15547,2011-10-14,1205.6500244140625,1224.6099853515625,1205.6500244140625,1224.5799560546875,4116690000,2011,10,October,4,Friday,41,1.5725924234700206,1.570101709227337,-7.203799588392952,1.989990234375,0.1653282636181576
15548,2011-10-17,1224.469970703125,1224.469970703125,1198.550048828125,1200.8599853515625,4300700000,2011,10,October,0,Monday,42,2.1626065511693104,-1.9281800220878416,4.4698532073097565,-0.1099853515625,-0.008981475731225201
15549,2011-10-18,1200.75,1233.0999755859375,1191.47998046875,1225.3800048828125,4840170000,2011,10,October,1,Tuesday,42,3.493134236364881,2.0512183954039145,12.543771944102122,-0.1099853515625,-0.009158882209760766
15550,2011-10-19,1223.4599609375,1229.6400146484375,1206.31005859375,1209.8800048828125,4846390000,2011,10,October,2,Wednesday,42,1.9339933285381274,-1.1099632589759287,0.128507882987581,-1.9200439453125,-0.15668967484875196
15551,2011-10-20,1209.9200439453125,1219.530029296875,1197.3399658203125,1215.3900146484375,4870290000,2011,10,October,3,Thursday,42,1.8532801134187327,0.45209356853767757,0.4931505718689581,0.0400390625,0.003309341615566094
15552,2011-10-21,1215.3900146484375,1239.030029296875,1215.3900146484375,1238.25,4980770000,2011,10,October,4,Friday,42,1.9450558556115494,1.8808765150316753,2.268448080093793,,
15553,2011-10-24,1238.719970703125,1256.550048828125,1238.719970703125,1254.18994140625,4309380000,2011,10,October,0,Monday,43,1.4393953877145655,1.2488674655292673,-13.479642705846686,0.469970703125,0.037954427871996765
15554,2011-10-25,1254.18994140625,1254.18994140625,1226.7900390625,1229.050048828125,4473970000,2011,10,October,1,Tuesday,43,2.23346305979862,-2.0044725083616206,3.8193429217195978,,
15555,2011-10-26,1229.1700439453125,1246.280029296875,1221.06005859375,1242.0,4873530000,2011,10,October,2,Wednesday,43,2.0654160723404478,1.0437901670225151,8.930770657827388,0.1199951171875,0.009763240911296735
15556,2011-10-27,1243.969970703125,1292.6600341796875,1243.969970703125,1284.5899658203125,6367610000,2011,10,October,3,Thursday,43,3.9140867242190405,3.2653517427135315,30.65703914821495,1.969970703125,0.15861277802938809
15557,2011-10-28,1284.3900146484375,1287.0799560546875,1277.010009765625,1285.0899658203125,4536690000,2011,10,October,4,Friday,43,0.7885565666717584,0.054496777761589045,-28.753645402278096,-0.199951171875,-0.015565369276982896
15558,2011-10-31,1284.9599609375,1284.9599609375,1253.1600341796875,1253.300048828125,4310210000,2011,10,October,0,Monday,44,2.5375790713457103,-2.463883161485911,-4.992185932915849,-0.1300048828125,-0.010116403230143803
15559,2011-11-01,1251.0,1251.0,1215.4200439453125,1218.280029296875,5645540000,2011,11,November,1,Tuesday,44,2.9273794053283204,-2.6155052520483615,30.98062507395231,-2.300048828125,-0.18351940784456347
15560,2011-11-02,1219.6199951171875,1242.47998046875,1219.6199951171875,1237.9000244140625,4110530000,2011,11,November,2,Wednesday,44,1.8743531135176243,1.4988299117807231,-27.189781668361217,1.3399658203125,0.10998832682875509
15561,2011-11-03,1238.25,1263.2099609375,1234.81005859375,1261.1500244140625,4849140000,2011,11,November,3,Thursday,44,2.2999409622636957,1.8493861832475267,17.968729093328598,0.3499755859375,0.028271716538914728
15562,2011-11-04,1260.8199462890625,1260.8199462890625,1238.9200439453125,1253.22998046875,3830650000,2011,11,November,4,Friday,44,1.7676606695303971,-0.6019864963789511,-21.003518149610034,-0.330078125,-0.02617278821790898
15563,2011-11-07,1253.2099609375,1261.699951171875,1240.75,1261.1199951171875,3429740000,2011,11,November,0,Monday,45,1.688490926606891,0.6311818790340742,-10.465847832613264,-0.02001953125,-0.0015974347535567272
15564,2011-11-08,1261.1199951171875,1277.550048828125,1254.989990234375,1275.9200439453125,3908490000,2011,11,November,1,Tuesday,45,1.7976285682993223,1.1735638864999307,13.958784047770385,,
15565,2011-11-09,1275.1800537109375,1275.1800537109375,1226.6400146484375,1229.0999755859375,4659740000,2011,11,November,2,Wednesday,45,3.9571543796744533,-3.6136134650868375,19.22097792242017,-0.739990234375,-0.05799659922943549
15566,2011-11-10,1229.5899658203125,1246.219970703125,1227.699951171875,1239.699951171875,4002760000,2011,11,November,3,Thursday,45,1.508513502307474,0.8222241261392933,-14.099069905187845,0.489990234375,0.03986577529150234
15567,2011-11-11,1240.1199951171875,1266.97998046875,1240.1199951171875,1263.8499755859375,3370180000,2011,11,November,4,Friday,45,2.1659182544689406,1.9135229302151193,-15.803595519091825,0.4200439453125,0.033882710482922664
15568,2011-11-14,1263.8499755859375,1263.8499755859375,1246.6800537109375,1251.780029296875,3219680000,2011,11,November,0,Monday,46,1.377251671260084,-0.9550141648312898,-4.4656368502572565,,
